x,RNE,RNW,RSW,RSE
0,7.673994149738852,7.963040281071508,9.026579662581225,8.213200978481893
50,6.851089661567838,7.6105944848741025,9.237994072991164,7.317804711316945
100,5.2310083611894065,5.937726651722234,7.680641246672942,5.605904046850381
150,3.739047176310743,4.161326840313233,5.614064308558536,4.028995334891012
200,2.735594503277669,2.8893027023100455,3.979827332805558,2.951034187772234
250,2.072633836606714,2.000213027860837,2.8919102861941943,2.3374440057330657
300,1.6324976793033528,1.3636259868192573,2.230127092368147,1.960751647144301
350,1.324729566109773,0.9443099554617864,1.8246212153295311,1.694365857525466
400,1.1113324500043231,0.6610679398079811,1.5995193676298487,1.4886236007369846
450,0.9449041619523215,0.48522854879512467,1.4554008874453577,1.3565877119057244
500,0.8177811051803596,0.3698666473434453,1.378285581742097,1.2594393618030073
550,0.726086370918357,0.3031344281167145,1.3143292742181854,1.189368902990686
600,0.6550060154784572,0.2559509996814031,1.2519003249825578,1.1207590142806576
650,0.599936353366688,0.22609377460201585,1.1943142898642505,1.069861997587324
700,0.5599588262226143,0.1977576947619016,1.150786584487487,1.0317189531607225
750,0.5406420357595275,0.18029547799156193,1.10388020598318,0.9951546518798218
800,0.5156730954327997,0.157266214422286,1.079745437029554,0.962357797496518
850,0.4987998464332912,0.1441596202034386,1.045765570558002,0.930204263803267
900,0.4765066147041425,0.12691115457786004,1.0328055569437855,0.9054391233261885
950,0.4404533347922296,0.11383816895253075,1.0122037755281958,0.8754211087435593
1000,0.4172871884552845,0.09974938474451576,0.977019991913549,0.8424319846107465
1050,0.40079981474985865,0.08649727253704302,0.9387511059196849,0.8370075611842169
1100,0.37840542141703326,0.07359875337388978,0.8774963791984183,0.7979191433313086
1150,0.33173411807174635,0.060994580536933955,0.813176752354123,0.7574635472629954
1200,0.2842541951315415,0.050599409296939256,0.7406496122014233,0.6855071658465197
1250,0.2338946809831876,0.0417647628490216,0.6429941577177453,0.6028636418844521
1300,0.19153653193596765,0.031269103141838096,0.542636904578998,0.5448302678981922
1350,0.1569147028583629,0.023034968595548298,0.4315819695292806,0.48001643001395394
1400,0.12952079540301803,0.020728203507348417,0.3421486914093045,0.3765189649351601
1450,0.10062020221930258,0.016763055535071146,0.2710290530194192,0.30348056130491086
1500,0.08309854289204044,0.012665052567025239,0.20390191355909276,0.24622893078442665
1550,0.060958513424294744,0.008185693963676181,0.13439854789552874,0.17164602743122104
1600,0.046638125815924206,0.007023044212584544,0.10737137172111491,0.13402437311276957
1650,0.04062332515267929,0.005655444036698635,0.08776084722787642,0.10354350139504205
1700,0.0317877307022353,0.0046192319683919,0.06785473463367098,0.08528155658055293
1750,0.02373626117717805,0.003359878914348854,0.04507899993392277,0.05785526488420609
1800,0.016598533120343626,0.0023622216525798273,0.032168966703001005,0.04405282872564383
1850,0.012681013090348097,0.00213588503298365,0.02199999817539118,0.037447285650361976
1900,0.01013826628946705,0.0016766432252324135,0.016861188556749767,0.03195719660777623
1950,0.007612854873091972,0.0012446728370078442,0.01321924699595787,0.024497854267630202
